pitcher_id,name,pitches,pa,k_percent,bb_percent,woba,xwoba,gap,hard_hit_percent,window_days
680767,"Vodnik, Victor",199,49,12.2,12.2,0.334,0.355,-0.021,45.9,21
682254,"Montgomery, Mason",154,38,26.3,10.5,0.154,0.227,-0.073,33.3,21
573124,"Rogers, Taylor",191,47,23.4,14.9,0.369,0.311,0.058,29.6,21
681892,"Funderburk, Kody",107,25,36.0,12.0,0.342,0.236,0.106,23.1,21
669387,"Mlodzinski, Carmen",166,43,9.3,14.0,0.239,0.278,-0.039,32.3,21
662253,"Muñoz, Andrés",146,36,30.6,11.1,0.394,0.296,0.098,57.1,21
669062,"Miller, Erik",194,47,21.3,29.8,0.406,0.363,0.043,28.6,21
694494,"Johnson, Ty",136,31,38.7,9.7,0.268,0.238,0.03,31.2,21
686934,"McFarlane, Alex",118,31,25.8,0.0,0.279,0.301,-0.022,52.2,21
628452,"Iglesias, Raisel",139,34,52.9,2.9,0.132,0.188,-0.056,33.3,21
669276,"Lee, Dylan",107,32,6.2,6.2,0.419,0.321,0.098,35.7,21
666808,"Doval, Camilo",89,24,25.0,8.3,0.41,0.362,0.048,56.2,21
661395,"Duran, Jhoan",114,27,44.4,3.7,0.272,0.261,0.011,28.6,21
703725,"Gastelum, Luis",157,41,22.0,4.9,0.311,0.317,-0.006,30.0,21
623474,"Herget, Jimmy",141,38,13.2,7.9,0.303,0.326,-0.023,43.3,21
596001,"Junis, Jakob",125,35,5.7,11.4,0.39,0.374,0.016,35.7,21
592779,"Stewart, Brock",85,21,23.8,4.8,0.395,0.389,0.006,46.7,21
680755,"Fisher, Braydon",151,30,23.3,26.7,0.343,0.489,-0.146,73.3,21
656240,"Blewett, Scott",190,57,26.3,8.8,0.346,0.33,0.016,37.8,21
681870,"Sabrowski, Erik",102,28,32.1,17.9,0.13,0.183,-0.053,28.6,21
642397,"Soto, Gregory",145,35,31.4,22.9,0.39,0.3,0.09,37.5,21
663558,"Morán, Jovani",103,25,36.0,8.0,0.139,0.167,-0.028,23.1,21
685464,"Winquest, Cade",183,43,32.6,11.6,0.304,0.207,0.097,30.4,21
663947,"Holton, Tyler",121,30,13.3,13.3,0.252,0.291,-0.039,45.5,21
656271,"Burke, Brock",107,32,18.8,3.1,0.186,0.317,-0.131,39.1,21
681217,"Silseth, Chase",136,37,29.7,16.2,0.409,0.275,0.134,40.0,21
640448,"Finnegan, Kyle",79,18,5.6,0.0,0.511,0.509,0.002,47.1,21
641941,"Pagán, Emilio",140,34,29.4,8.8,0.256,0.329,-0.073,42.1,21
676917,"Cavalli, Cade",345,85,34.1,5.9,0.213,0.23,-0.017,35.3,21
800048,"Messick, Parker",380,94,31.9,7.4,0.327,0.317,0.01,45.6,21
669923,"Kirby, George",487,124,19.4,11.3,0.387,0.353,0.034,37.6,21
687473,"Gusto, Ryan",442,118,17.8,9.3,0.394,0.384,0.01,42.9,21
656876,"Rasmussen, Drew",379,95,26.3,5.3,0.207,0.245,-0.038,29.2,21
607192,"Glasnow, Tyler",385,95,36.8,12.6,0.305,0.293,0.012,39.6,21
554430,"Wheeler, Zack",397,98,34.7,6.1,0.217,0.233,-0.016,34.5,21
607625,"Lugo, Seth",410,108,17.6,8.3,0.437,0.329,0.108,41.2,21
664285,"Valdez, Framber",448,116,21.6,12.1,0.267,0.28,-0.013,32.5,21
694297,"Pfaadt, Brandon",260,76,18.4,3.9,0.327,0.318,0.009,43.1,21
543243,"Gray, Sonny",439,120,20.0,8.3,0.238,0.329,-0.091,37.6,21
605135,"Bassitt, Chris",461,120,17.5,8.3,0.326,0.317,0.009,44.9,21
594798,"deGrom, Jacob",356,84,34.5,9.5,0.261,0.243,0.018,50.0,21
607074,"Rodón, Carlos",380,93,30.1,7.5,0.21,0.285,-0.075,41.4,21
579328,"Kikuchi, Yusei",368,90,18.9,13.3,0.358,0.325,0.033,46.7,21
665871,"Assad, Javier",202,49,12.2,10.2,0.362,0.349,0.013,27.8,21
683627,"Molina, Anthony",326,80,27.5,6.2,0.288,0.278,0.01,39.6,21
527048,"Pérez, Martín",344,97,11.3,12.4,0.333,0.316,0.017,20.3,21
804267,"Thornton, Zac",338,98,18.4,6.1,0.345,0.333,0.012,48.6,21
641743,"Kay, Anthony",280,78,15.4,10.3,0.376,0.369,0.007,37.9,21
814490,"Pecko, Ethan",329,86,16.3,9.3,0.279,0.305,-0.026,40.6,21
605488,"Springs, Jeffrey",409,100,17.0,11.0,0.343,0.361,-0.018,36.1,21
671737,"Bradley, Taj",376,94,28.7,10.6,0.232,0.315,-0.083,49.1,21
690279,"Adams, Mason",399,109,24.8,7.3,0.362,0.323,0.039,59.7,21
453286,"Scherzer, Max",418,113,19.5,10.6,0.327,0.331,-0.004,29.9,21
669461,"Liberatore, Matthew",385,108,17.6,7.4,0.349,0.351,-0.002,43.8,21
592662,"Ray, Robbie",418,97,16.5,13.4,0.369,0.365,0.004,30.9,21
677952,"Ashcraft, Braxton",67,22,40.9,0.0,0.369,0.276,0.093,38.5,21
544150,"Suárez, Albert",72,17,17.6,5.9,0.338,0.292,0.046,30.8,21
671096,"Abbott, Andrew",399,108,20.4,6.5,0.378,0.301,0.077,40.5,21
669160,"May, Dustin",316,76,27.6,9.2,0.38,0.414,-0.034,41.7,21
676755,"Mattson, Isaac",39,10,20.0,0.0,0.43,0.382,0.048,75.0,21
656288,"Canning, Griffin",137,38,23.7,13.2,0.311,0.304,0.007,33.3,21
678061,"Kerr, Ray",129,37,27.0,0.0,0.17,0.235,-0.065,33.3,21
802408,"Mautz, Brycen",104,27,25.9,14.8,0.342,0.302,0.04,25.0,21
804926,"Peterson, Austin",31,8,37.5,0.0,0.225,0.137,0.088,60.0,21
684516,"Rincon, Hancel",43,11,9.1,18.2,0.7,0.599,0.101,37.5,21
663574,"Santillan, Tony",99,26,19.2,23.1,0.377,0.356,0.021,40.0,21
670036,"Festa, Matt",176,39,23.1,10.3,0.283,0.276,0.007,15.4,21
669330,"Wells, Tyler",58,17,35.3,5.9,0.156,0.184,-0.028,40.0,21
665660,"Alvarado, Elvis",192,47,21.3,6.4,0.307,0.309,-0.002,40.6,21
656794,"Newcomb, Sean",226,51,17.6,15.7,0.488,0.467,0.021,47.1,21
666745,"Brito, Jhony",22,7,0.0,0.0,0.129,0.285,-0.156,28.6,21
660853,"De Los Santos, Enyel",174,46,23.9,6.5,0.504,0.324,0.18,43.8,21
642376,"Yan, Jefry",126,29,37.9,10.3,0.266,0.266,0.0,53.3,21
684665,"Murphy, Luke",166,42,21.4,4.8,0.494,0.357,0.137,33.3,21
605242,"Fulmer, Michael",113,24,33.3,16.7,0.304,0.278,0.026,33.3,21
680742,"Bowlan, Jonathan",94,21,33.3,9.5,0.445,0.313,0.132,50.0,21
676534,"Faucher, Calvin",142,36,19.4,13.9,0.232,0.282,-0.05,33.3,21
670950,"Richards, Trevor",231,62,17.7,6.5,0.32,0.339,-0.019,48.9,21
593974,"Peralta, Wandy",162,44,15.9,4.5,0.337,0.343,-0.006,42.9,21
688642,"Agnos, Zach",239,67,9.0,14.9,0.411,0.365,0.046,39.2,21
687911,"King, Bryan",115,29,6.9,6.9,0.452,0.285,0.167,29.2,21
605447,"Romano, Jordan",117,32,21.9,12.5,0.431,0.384,0.047,42.9,21
592155,"Booser, Cam",57,18,22.2,0.0,0.069,0.164,-0.095,14.3,21
650911,"Sánchez, Cristopher",385,104,18.3,5.8,0.362,0.318,0.044,41.8,21
690997,"McLean, Nolan",452,128,21.1,7.8,0.288,0.281,0.007,34.1,21
695076,"Lowder, Rhett",327,82,15.9,15.9,0.466,0.415,0.051,46.4,21
519242,"Sale, Chris",391,95,34.7,7.4,0.275,0.235,0.04,41.5,21
605483,"Snell, Blake",221,49,32.7,8.2,0.26,0.235,0.025,28.6,21
669302,"Gilbert, Logan",380,101,30.7,8.9,0.419,0.308,0.111,43.1,21
669358,"Baz, Shane",356,100,15.0,10.0,0.321,0.365,-0.044,38.7,21
663372,"Feltner, Ryan",300,77,16.9,9.1,0.311,0.255,0.056,30.4,21
518876,"Kelly, Merrill",421,109,18.3,7.3,0.288,0.284,0.004,28.4,21
684007,"Imanaga, Shota",385,86,26.7,3.5,0.225,0.299,-0.074,41.7,21
808825,"Sears, Andrew",245,63,14.3,20.6,0.444,0.323,0.121,34.1,21
656492,"Griffin, Foster",403,119,21.8,6.7,0.382,0.341,0.041,29.4,21
683003,"Jones, Jared",358,90,38.9,4.4,0.163,0.205,-0.042,31.4,21
624133,"Suarez, Ranger",383,101,20.8,11.9,0.254,0.3,-0.046,36.8,21
607259,"Martinez, Nick",324,88,19.3,3.4,0.252,0.204,0.048,25.0,21
696270,"Johnson, Ryan",373,94,25.5,5.3,0.293,0.273,0.02,29.2,21
800600,"Kent, Jackson",319,82,15.9,12.2,0.39,0.356,0.034,37.3,21
805673,"Matthews, Zebby",339,78,29.5,9.0,0.331,0.291,0.04,47.9,21
607200,"Fedde, Erick",381,87,14.9,11.5,0.298,0.355,-0.057,48.4,21
672456,"Montero, Keider",303,70,21.4,10.0,0.366,0.313,0.053,31.9,21
