"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Gómez, Yoendrys","672782","100","23.5",33,"114.7","89.3","78.5","94.1","87.6","407","201","383","40",43,"11",11,7.1
"Fisher, Braydon","680755","99","9.5",30.3,"106.8","88.2","77.2","93.5","83.3","409","159","384","40",40.4,"11",11.1,6.9
"Burke, Brock","656271","99","18.6",38.4,"109.1","88","77.2","90.6","86.5","406","184","402","33",33.3,"11",11.1,7.1
"Kuhnel, Joel","669270","99","11.4",30.3,"106.2","88","76.9","92.3","86.6","427","138","390","37",37.4,"6",6.1,4.7
"Legumina, Casey","668984","99","11.8",38.4,"110.1","86.8","75.4","90.3","82.1","417","160","401","36",37.9,"7",7.1,5.3
"Strider, Spencer","675911","98","22.2",35.7,"111.5","89.1","79.2","94.6","80.3","423","203","385","36",36.7,"11",11.2,6.7
"Hudson, Bryan","663542","98","13.3",30.6,"109.3","88.3","78.2","90.9","87.6","401","146","369","35",35.7,"4",4.1,2.7
"Bazardo, Eduard","660825","97","20",36.1,"110.4","90.9","81.7","93.1","89.1","393","187","372","40",41.2,"8",8.2,5.8
"Alexander, Tyler","641302","97","7.8",24.7,"110","86.5","75.6","89.9","85.6","448","128","407","31",32,"3",3.1,2.3
"Headrick, Brent","687396","96","19.3",38.5,"108.7","88.5","78","91.2","89.4","420","172","405","35",36.5,"4",4.2,2.7
