"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Adames, Willy","642715","327","22.8",36.7,"109.4","87.4","98.8","92.1","83.6","427","187","389","127",38.8,"29",8.9,5.7
"Schwarber, Kyle","656941","326","19.8",39.3,"113.2","92.4","103.5","97","86.5","460","199","403","162",49.7,"55",16.9,8.8
"Jensen, Carter","695600","326","20.3",32.8,"113.7","91.4","101.9","94","90.1","449","194","399","147",45.1,"36",11,6.6
"Mullins, Cedric","656775","325","26.2",24.6,"110.4","87.9","97.6","92.4","84.7","433","177","387","104",32.2,"14",4.3,3
"Happ, Ian","664023","324","14.5",32.1,"111.5","89.2","100.4","94","84.4","446","176","402","134",41.5,"37",11.4,6.4
"Nuñez, Nasim","683083","322","9.1",28.9,"109.7","85","94.9","87.6","84.4","381","132","372","70",21.7,"3",0.9,0.6
"Peters, Tristan","671976","322","18.1",33.9,"108.5","87.5","98.3","91.5","84.5","410","165","377","109",34,"19",5.9,4.3
"Young, Jacob","696285","320","12.1",36.6,"110.1","87.7","97.6","89.3","86.1","437","170","399","99",30.9,"19",5.9,4.4
"Montgomery, Colson","695657","318","23.6",34,"115.4","88.7","101.4","93.3","85.9","442","188","397","133",42,"40",12.6,7
"Crawford, Justin","702222","315","1.5",26.7,"109.2","87.3","98.3","90.3","86.2","403","124","382","114",36.2,"4",1.3,1
"Church, Nathan","701675","315","13.2",32.4,"110.1","85.9","97.1","90.2","84.4","407","149","386","94",29.8,"18",5.7,4.3
"Trout, Mike","545361","315","18.1",37.5,"114.6","89.9","102.6","94","85.5","446","195","409","142",45.1,"49",15.6,8.7
"Greene, Riley","682985","315","17.2",40,"112.4","90.3","102.6","95.2","83.2","431","198","401","151",47.9,"48",15.2,9.2
"Lukes, Nathan","664770","314","8.3",29.9,"107.5","87","96.3","90.9","85","404","137","382","89",28.3,"8",2.5,2
"Tovar, Ezequiel","678662","313","17.7",35.1,"109.4","87.4","98.3","92","82.7","441","174","409","104",33.2,"20",6.4,4.3
"Canzone, Dominic","686527","313","10.1",33.5,"114.7","91.1","102.4","96","87.2","451","165","404","140",44.7,"38",12.1,8.3
"Mangum, Jake","663968","313","4.3",27.2,"107.1","85.4","96.1","90.8","83","420","122","393","83",26.5,"6",1.9,1.4
"Chisholm Jr., Jazz","665862","312","16.2",30.4,"112.4","90.5","100.2","94.6","87","416","169","384","133",42.6,"26",8.3,5
"Bleday, JJ","668709","310","23.2",39.7,"112.6","88.3","99.9","93.1","81.9","417","202","389","122",39.5,"31",10,6.4
"Torkelson, Spencer","679529","310","19.7",41.6,"109.8","89.3","99.8","94","81.8","435","199","392","127",41,"38",12.3,6.9
"Schmitt, Casey","669477","310","21.6",39.4,"112.3","89.9","100.8","93.2","87.3","424","197","396","139",44.8,"38",12.3,9.3
"Pasquantino, Vinnie","686469","308","20.5",35.1,"108.9","89.7","99.7","94.3","87.1","427","192","396","127",41.2,"25",8.1,5.9
"Muncy, Max","571970","308","17.9",35.4,"110.2","90.4","101.1","95.8","83.9","461","186","411","143",46.4,"40",13,8
"Contreras, Willson","575929","307","17.9",32.2,"116","89.7","102.5","95.6","85.5","452","179","405","134",43.6,"41",13.4,7.9
"Collins, Isaac","686555","307","16.3",30,"110.9","88.3","99.7","90.6","89.1","428","166","394","120",39.1,"16",5.2,3.4
"Soderstrom, Tyler","691016","306","11.1",31,"113.2","90.7","101.6","94.7","88.6","462","159","404","139",45.4,"29",9.5,6.4
"Massey, Michael","686681","306","16.2",33.7,"108.4","89.8","99.2","93.1","87","430","183","399","125",40.8,"18",5.9,4.6
"Wood, James","695578","305","9.3",38.4,"116.3","95.3","106.3","100.6","89.6","446","184","413","178",58.4,"63",20.7,11.2
"Bazzana, Travis","683953","303","15.1",29.4,"108.1","87.8","98.4","92.4","84.2","427","165","394","109",36.2,"15",5,3.3
"Swanson, Dansby","621020","302","16.2",29.8,"110.3","89.5","99.4","94","85.2","437","171","405","124",41.1,"23",7.6,5
"Castro, Willi","650489","301","17.7",31.9,"112.1","87.6","100.3","91.5","85.2","444","175","409","120",39.9,"24",8,5
"Johnston, Troy","687859","300","13.3",40.3,"107.9","89.7","98.5","91.4","88","423","175","411","113",37.7,"7",2.3,1.7
